Item Title,Authors,Publication Year,Publication Title,Content Type,Item DOI,URL,Journal Volume,Journal Issue,Book Series Title
Real-Time Data Collection and Processing of Utility Customerâ€™s Power Usage for Improved Demand Response Control,Shawyun SaririVolker SchwarzerDominik P. H. KalischMichael AngeloReza Ghorbani,2016,Transactions on Large-Scale Data- and Knowledge-Centered Systems XXVII,Chapter,10.1007/978-3-662-53416-8_4,http://link.springer.com/chapter/10.1007/978-3-662-53416-8_4,,,
"Big Data management in smart grid: concepts, requirements and implementation",Houda DakiAsmaa El HannaniAbdelhak AqqalAbdelfattah HaidineAziz Dahbi,2017,Journal of Big Data,Article,10.1186/s40537-017-0070-y,http://link.springer.com/article/10.1186/s40537-017-0070-y,4,1,
"A Survey of Simulators for Home Energy Management: System Architecture, Intelligence, UI and Efficiency",Mingxu SunWilliams DannahQi LiuXiaodong Liu,2019,Artificial Intelligence and Security,Chapter,10.1007/978-3-030-24271-8_20,http://link.springer.com/chapter/10.1007/978-3-030-24271-8_20,,,
Social Computing for Home Energy Efficiency: Technological and Stakeholder Ecosystems,Marc Torrent-MorenoRafael GimÃ©nezRegina EnrichJosÃ© Javier GarcÃ­aMarÃ­a PÃ©rez,2011,Online Communities and Social Computing,Chapter,10.1007/978-3-642-21796-8_25,http://link.springer.com/chapter/10.1007/978-3-642-21796-8_25,,,
Design and Evaluation of a Constraint-Based Energy Saving and Scheduling Recommender System,SeÃ¡n Ã“g MurphyÃ“scar ManzanoKenneth N. Brown,2015,Principles and Practice of Constraint Programming,Chapter,10.1007/978-3-319-23219-5_47,http://link.springer.com/chapter/10.1007/978-3-319-23219-5_47,,,
Finding faults and influencing consumption: the role of in-home energy feedback displays in managing high-tech homes,Stephen BerryDavid WhaleyWasim SamanKathryn Davidson,2017,Energy Efficiency,Article,10.1007/s12053-016-9489-9,http://link.springer.com/article/10.1007/s12053-016-9489-9,10,4,
Energy@home Leveraging ZigBee to Enable Smart Grid in Residential Environment,Andrea RanalliClaudio Borean,2013,Smart Grid Security,Chapter,10.1007/978-3-642-38030-3_10,http://link.springer.com/chapter/10.1007/978-3-642-38030-3_10,,,
Big Data in the Energy and Transport Sectors,Sebnem RusitschkaEdward Curry,2016,New Horizons for a Data-Driven Economy,Chapter,10.1007/978-3-319-21569-3_13,http://link.springer.com/chapter/10.1007/978-3-319-21569-3_13,,,
Unconventional Energy Resources: 2017 Review,,2019,Natural Resources Research,Article,10.1007/s11053-018-9432-1,http://link.springer.com/article/10.1007/s11053-018-9432-1,28,4,
Computational intelligence techniques for HVAC systems: A review,Muhammad Waseem AhmadMonjur MourshedBaris YuceYacine Rezgui,2016,Building Simulation,Article,10.1007/s12273-016-0285-4,http://link.springer.com/article/10.1007/s12273-016-0285-4,9,4,
Use Cases for Improved Analysis of Energy and Comfort Related Parameters Based on BIM and BEMS Data,Filip PetrushevskiMaryam MontazerStefan SeifriedChristian SchieferGerhard ZuckerThomas PreindlGeorg SuterWolfgang Kastner,2018,Advanced Computing Strategies for Engineering,Chapter,10.1007/978-3-319-91638-5_22,http://link.springer.com/chapter/10.1007/978-3-319-91638-5_22,,,
65TH ASMS Conference on Mass Spectrometry and Allied Topics,Judith Sjoberg,2017,Journal of The American Society for Mass Spectrometry,Article,10.1007/s13361-017-1695-y,http://link.springer.com/article/10.1007/s13361-017-1695-y,28,1,
"ESMRMB 2011, 28th Annual Scientific Meeting, Leipzig, Germany, 6-8 October: EPOSTM Posters / Paper Posters / Clinical Review Posters / Software Exhibits",,2011,"Magnetic Resonance Materials in Physics, Biology and Medicine",Article,10.1007/s10334-011-0268-5,http://link.springer.com/article/10.1007/s10334-011-0268-5,24,1,
67TH ASMS Conference on Mass Spectrometry and Allied Topics,,2019,Journal of The American Society for Mass Spectrometry,Article,10.1007/s13361-019-02232-4,http://link.springer.com/article/10.1007/s13361-019-02232-4,30,1,
66TH ASMS Conference on Mass Spectrometry and Allied Topics,,2018,Journal of The American Society for Mass Spectrometry,Article,10.1007/s13361-018-1971-5,http://link.springer.com/article/10.1007/s13361-018-1971-5,29,1,
The Geodesistâ€™s Handbook 2016,Hermann DrewesFranz KuglitschJÃ³zsef AdÃ¡mSzabolcs RÃ³zsa,2016,Journal of Geodesy,Article,10.1007/s00190-016-0948-z,http://link.springer.com/article/10.1007/s00190-016-0948-z,90,10,
Smart Meters and Smart Devices in Buildings: a Review of Recent Progress and Influence on Electricity Use and Peak Demand,Kristen S. CetinZheng Oâ€™Neill,2017,Current Sustainable/Renewable Energy Reports,Article,10.1007/s40518-017-0063-7,http://link.springer.com/article/10.1007/s40518-017-0063-7,4,1,
Energy Informatics,Dr. Christoph GoebelProf.Â Dr. Hans-Arno JacobsenVictor del RazoMag.Â (FH) Christoph DoblanderDipl.-Ing. Jose RiveraDipl-Inform.Â Wirt Jens IlgDr. Christoph FlathProf.Â Dr. Hartmut SchmeckProf.Â Dr. Christof WeinhardtDipl-Inform. Daniel PathmaperumaProf.Â Dr. Dr.Â h.Â c. Hans-JÃ¼rgen AppelrathProf.Â Dr. Michael SonnenscheinProf.Â Dr. Sebastian LehnhoffProf.Â Dr. Oliver KramerProf.Â Dr. Thorsten StaakeProf.Â Dr. Elgar Fleisch,2014,Business & Information Systems Engineering,Article,10.1007/s12599-013-0304-2,http://link.springer.com/article/10.1007/s12599-013-0304-2,6,1,
Iranâ€™s energy scenarios on a 20-year vision,S. K. ChaharsooghiM. RezaeiM. Alipour,2015,International Journal of Environmental Science and Technology,Article,10.1007/s13762-015-0829-7,http://link.springer.com/article/10.1007/s13762-015-0829-7,12,11,
"Internet of connected ServGoods: Considerations, consequences and concerns",James M. Tien,2015,Journal of Systems Science and Systems Engineering,Article,10.1007/s11518-015-5273-1,http://link.springer.com/article/10.1007/s11518-015-5273-1,24,2,
Design of production systems with hybrid energy and water generation for sustainable value creation,S. EmecP. BilgeG. Seliger,2015,Clean Technologies and Environmental Policy,Article,10.1007/s10098-015-0947-4,http://link.springer.com/article/10.1007/s10098-015-0947-4,17,7,
"The anatomy of the data-driven smart sustainable city: instrumentation, datafication, computerization and related applications",Simon Elias Bibri,2019,Journal of Big Data,Article,10.1186/s40537-019-0221-4,http://link.springer.com/article/10.1186/s40537-019-0221-4,6,1,
"Blockchain: a secure, decentralized, trusted cyber infrastructure solution for future energy systems",Zhaoyang DONGFengji LUOGaoqi LIANG,2018,Journal of Modern Power Systems and Clean Energy,Article,10.1007/s40565-018-0418-0,http://link.springer.com/article/10.1007/s40565-018-0418-0,6,5,
IPR 2016,,2016,Pediatric Radiology,Article,10.1007/s00247-016-3579-x,http://link.springer.com/article/10.1007/s00247-016-3579-x,46,1,
Load Management in Power Grids,Dipl.-Math. Cornelius KÃ¶ppProf.Â Dr. Hans-JÃ¶rg von MettenheimProf.Â Dr. Michael H. Breitner,2013,Business & Information Systems Engineering,Article,10.1007/s12599-012-0246-0,http://link.springer.com/article/10.1007/s12599-012-0246-0,5,1,
Abstracts of the 83rd Annual Meeting of the German Society for Experimental and Clinical Pharmacology and Toxicology (DGPT) and the 19th Annual Meeting of the Association of the Clinical Pharmacology Germany (VKliPha) With contribution of the Arbeitsgemeinschaft fÃ¼r Angewandte Humanpharmakologie e. V. (AGAH),,2017,Naunyn-Schmiedeberg's Archives of Pharmacology,Article,10.1007/s00210-017-1354-7,http://link.springer.com/article/10.1007/s00210-017-1354-7,390,1,
Big Data: A Survey,Min ChenShiwen MaoYunhao Liu,2014,Mobile Networks and Applications,Article,10.1007/s11036-013-0489-0,http://link.springer.com/article/10.1007/s11036-013-0489-0,19,2,
Constructing users in the smart gridâ€”insights from the Danish eFlex project,Sophie NyborgInge RÃ¸pke,2013,Energy Efficiency,Article,10.1007/s12053-013-9210-1,http://link.springer.com/article/10.1007/s12053-013-9210-1,6,4,
The next industrial revolution: Integrated services and goods,James M. Tien,2012,Journal of Systems Science and Systems Engineering,Article,10.1007/s11518-012-5194-1,http://link.springer.com/article/10.1007/s11518-012-5194-1,21,3,
